구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름
2009,99557508,47125113,52432396,0,56914959,41602695,15312264,42642550,500,39353308,0,0,25,890229,60.00,2.35,1.87,15.45,-49.59,-54.36,0.73,113.27,133.47,3.65,13.66,0.85,4.23,3.37,2.00,1.59,38,1139,18.17,0.60,0.34,7.84,3.53,31.18,15.22,79296334,68466599,10829735,8967138,1862597,1483632,1483632,-1927538,-12110034,14601284
2010,109120107,63705981,45414127,0,67868901,52381211,15487690,41251206,500,39353308,0,0,20,693783,130.87,3.02,0.52,0,0,0,1.05,121.62,164.53,2.92,15.52,0,0,0,0,0,13,1119,50.85,0.61,0.26,14.45,0,19.52,13.64,102718517,86772404,15946114,12848546,3097567,906210,530149,736004,-69059,4485598
2011,130817841,73356949,57460892,0,85642155,73872403,11769752,45175687,500,39353308,0,0,25,840000,28.34,5.18,2.70,6.90,83.60,459.11,1.64,99.30,189.58,3.11,15.95,0.92,13.16,6.86,4.74,2.47,75,1237,10.69,0.65,0.29,7.96,6.29,13.52,11.47,109810009,92297702,17512308,11825279,5687029,3452494,2964115,-688415,-12571372,12239902
2012,127557393,69850864,57706529,0,82014813,63820848,18193965,45542580,500,39353308,0,0,35,1176000,31.74,5.38,3.02,11.93,16.30,25.41,1.68,109.45,180.08,3.30,16.62,0.95,14.58,8.20,5.12,2.88,94,1229,11.26,0.86,0.34,7.95,5.67,13.61,11.04,122905331,102473314,20432018,13817964,6614054,4987175,3717420,3603001,-2042502,4279239
2013,147115126,90828722,56286404,0,101560871,83935212,17625659,45554255,500,39353308,0,0,45,1512412,229.96,3.61,0.46,27.17,-14.66,-80.65,1.61,108.21,222.94,3.93,13.10,1.14,12.39,1.58,4.11,0.52,17,1227,68.51,0.93,0.29,10.26,2.74,20.09,12.09,156304448,135822559,20481889,14837596,5644293,1505354,719232,-16906920,-5428647,15684435
2014,160244911,111767170,48477741,0,115754926,74016116,41738810,44489985,500,39353308,0,0,60,2016549,0,3.26,-0.07,1.44,-8.52,적전,1.52,151.00,260.18,4.44,12.67,1.03,11.47,-0.25,3.36,-0.07,-3,1199,0,1.13,0.34,12.93,-1.25,16.64,9.16,158550531,138461108,20089423,14925792,5163631,514219,-111826,34150831,-3644286,-13374831
2015,165405931,116881516,48524414,0,107452186,96536475,10915711,57953744,500,39353308,0,0,60,2016549,13.94,4.31,9.10,0.28,32.77,흑전,2.52,121.07,185.41,3.21,14.41,0.98,13.38,28.26,4.21,8.89,367,1541,5.09,1.21,0.46,4.06,5.98,15.31,9.96,158999533,136083219,22916314,16060644,6855670,21270978,14474633,7307038,-14191694,1782822
2016,178901902,92604838,86297064,0,144421157,133837229,10583928,34480745,500,39353308,0,0,0,0,0,7.19,-12.17,6.09,76.90,적전,3.26,69.19,418.85,0.00,18.47,0.98,26.24,-44.41,7.04,-11.92,-519,947,0,3.15,0.70,0,10.60,15.39,11.73,168681746,137529479,31152267,19024813,12127454,-26238978,-20526295,8032406,-25422638,11572079
2017,196084032,130477254,65606778,0,138488586,128670679,9817907,57595446,500,42710111,0,0,0,0,0,7.29,10.34,6.93,8.36,흑전,3.57,101.40,240.45,0,19.66,0.96,28.54,40.50,7.01,9.94,437,1415,5.67,1.75,0.59,4.59,7.59,11.96,8.95,180373683,144907191,35466492,22325522,13140970,32451662,18645438,-22124138,36103858,-13474059
2018,204777156,129420730,75356425,0,125320820,114567408,10753412,79456336,500,43226540,0,0,80,3057050,15.10,6.58,9.86,13.90,2.93,8.62,3.72,112.96,157.72,3.43,19.68,1.03,19.74,29.56,6.75,10.10,468,1893,4.99,1.23,0.49,4.14,8.86,11.09,8.48,205441375,165009911,40431465,26905139,13526326,27221533,20253300,17366463,-11960943,3045101
