구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익
2009,8150855068,2774844549,5376010519,0,3198969648,1114188259,2084781389,4951885420,5000,10520000,0,0,702261695,-728654825,230079156,8000,80997832,22.22,9.85,10.41,8.85,51.36,81.88,5.36,249.05,64.60,2.15,22.61,0.54,8.75,9.25,5.32,5.62,34651,426428,10.72,0.87,1.00,7.01,11.30,12.84,8.55,3896026712,3015092611,880934101,497108817,383825284,513361717,405529910
2010,8511312024,1988466248,6522845776,0,2636371217,663117004,1973254212,5874940808,5000,10520000,0,0,314687317,-720658,-340970519,8000,78613944,19.58,7.50,13.00,0,0,0,3.33,299.87,44.87,2.03,22.11,0,0,0,0,0,38163,555513,10.34,0.71,1.33,6.79,0,19.03,10.02,3115598316,2426724968,688873348,455345518,233527830,534944571,405152609
2011,7342270308,2438882113,4903388195,0,2316788751,861957142,1454831609,5025481558,5000,10520000,0,0,40268098,354837258,-108366860,8000,78375000,24.06,3.64,9.70,8.19,-47.43,-19.28,4.50,282.95,46.10,2.80,18.53,0.43,2.25,6.00,1.55,4.13,30967,486417,9.22,0.59,0.89,5.36,3.06,24.72,8.50,3370854633,2746255556,624599077,501827768,122771308,477565089,327043984
2012,6823989638,1699659600,5124330038,0,1862087730,1199859258,662228472,4961901908,5000,10520000,0,0,105818300,-565941021,-121765569,8000,78375000,17.63,6.13,13.75,-3.70,62.05,36.47,7.64,141.65,37.53,2.69,21.23,0.46,3.98,8.94,2.81,6.30,42265,480284,7.03,0.62,0.96,5.14,4.70,18.08,9.92,3246227955,2557161106,689066848,490117568,198949280,626668593,446319780
2013,7051729096,2015585277,5036143819,0,1958474227,583836220,1374638007,5093254869,5000,10520000,0,0,319041927,104005776,-92120106,8000,78375480,31.62,7.17,7.70,-0.41,16.48,-44.21,9.54,345.23,38.45,1.71,22.03,0.47,4.61,4.95,3.34,3.59,23558,492764,19.89,0.95,1.52,12.16,5.51,22.49,13.39,3233043061,2520836470,712206591,480463714,231742877,342351038,248992624
2014,8654534051,2561228800,6093305251,0,2425226276,900345012,1524881265,6229307774,5000,10520000,0,0,276513308,-164797506,-59892701,9000,88172415,27.07,8.04,9.61,5.16,17.97,31.21,9.80,284.47,38.93,1.73,23.48,0.43,4.83,5.77,3.48,4.16,30964,600744,16.79,0.87,1.61,11.39,6.59,20.13,12.86,3399828905,2601611600,798217305,524825537,273391768,475073990,326693598
2015,8668411154,2205659681,6462751474,0,2799757667,1374813687,1424943980,5868653488,5000,10556513,0,0,95413810,-864690814,463899261,9000,88464519,48.19,9.06,5.42,0.43,13.10,-43.36,8.98,160.43,47.71,2.16,25.94,0.39,5.11,3.06,3.57,2.14,17443,566549,23.93,0.74,1.29,12.66,7.91,17.73,11.60,3414387967,2528622152,885765815,576555330,309210486,250731259,185052521
2016,9162368432,2288828081,6873540350,0,3195442999,1677502637,1517940362,5966925432,5000,10556513,0,0,431135088,-497998621,201911296,9000,88501032,58.10,9.36,4.38,2.23,5.62,-17.34,6.77,136.44,53.55,2.50,26.62,0.39,5.52,2.58,3.66,1.72,14430,575837,24.91,0.62,1.09,10.67,7.10,15.30,9.43,3490487871,2561388414,929099457,602516355,326583102,231990125,152961874
2017,9543776838,2452254425,7091522413,0,3677520040,2603527421,1073992619,5866256798,5000,10556513,0,0,332894207,-658521534,141641566,9000,88501032,211.80,8.54,1.09,10.70,1.00,-72.35,6.22,94.19,62.69,2.36,23.94,0.41,5.57,0.71,3.53,0.45,3958,566294,96.26,0.67,1.04,15.25,4.78,16.51,9.87,3863990045,2939064836,924925209,595090238,329834971,93863404,42299634
2018,8965418419,2645608938,6319809482,0,3224071784,1422168944,1801902840,5741346635,5000,10556513,0,0,538975697,-50268279,-523832294,9000,88501032,0,6.44,-0.61,-2.12,-26.17,적전,4.01,186.03,56.16,2.91,22.36,0.41,4.20,-0.40,2.63,-0.25,-2233,554431,0,0.56,0.86,14.45,14.29,16.42,8.11,3782162956,2936557695,845605261,602080896,243524365,-12294416,-23103553
