구분,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주
2009,60,1440000,5.73,10.00,6.52,15.91,1467.32,흑전,2.17,67.63,220.20,0.47,17.38,0.76,26.93,17.55,7.65,4.98,1047,7240,12.32,1.78,0.73,5.81,13.43,14.16,8.52,426425015,352311025,74113990,31460748,42653241,19609593,27803500,28315565,-12305193,-19714233,568234293,210666780,357567513,0,390772275,311489616,79282659,177462018,500,24000000,0,0
2010,60,1440000,6.67,6.21,3.88,0,0,0,1.78,76.88,180.12,0.48,14.42,0,0,0,0,0,900,11204,14.01,1.12,0.54,6.76,0,18.22,10.91,557016000,476692000,80324000,45740000,34584000,18926000,21588000,21488000,-25509000,24263000,753260000,295141000,458119000,0,484356000,383907000,100449000,268904000,500,24000000,0,0
2011,60,1440000,14.35,4.00,1.60,12.92,-27.26,-53.53,1.07,76.35,216.40,0.65,14.65,0.77,9.25,3.69,3.10,1.24,418,11459,22.15,0.81,0.35,5.68,4.84,23.73,11.01,628972000,536853000,92119000,66962000,25157000,8869000,10033000,19725000,-34105000,58731000,870166000,366745000,503421000,0,595147000,480347000,114800000,275019000,500,24000000,0,0
2012,80,1920000,9.33,8.48,3.01,8.06,129.17,103.92,2.49,75.44,200.69,0.67,19.42,0.78,20.53,7.28,6.66,2.36,858,11900,13.87,1.00,0.42,10.72,7.96,11.04,9.99,679637000,547638000,131999000,74347000,57652000,24336000,20459000,93999000,-31500000,-45132000,862123000,358651000,503472000,0,575407000,475410000,99997000,286716000,500,24000000,0,0
2013,70,1680000,7.00,6.08,3.31,1.84,-27.01,12.06,2.26,106.16,182.62,0.70,18.97,0.80,14.19,7.73,4.87,2.65,1000,12756,9.94,0.78,0.34,4.32,4.97,13.86,7.95,692164000,560839000,131325000,89246000,42079000,31865000,22927000,59038000,-19780000,-54909000,866022000,367591000,498431000,0,559599000,346255000,213344000,306423000,500,24000000,0,0
2014,60,1440000,0,0.51,-2.01,-3.85,-91.92,적전,0.19,80.12,196.53,0.74,13.31,0.77,1.14,-4.50,0.39,-1.56,-528,11897,0,0.68,0.29,9.73,0.84,166.44,15.67,665498000,576914000,88584000,85186000,3398000,-8716000,-13391000,48315000,-55569000,-10812000,855857000,337913000,517944000,0,567230000,421748000,145482000,288627000,500,24000000,0,0
2015,70,1680000,5.64,7.55,4.38,-1.66,1353.50,흑전,3.18,83.19,167.49,0.48,21.27,0.77,16.33,9.47,5.80,3.37,1241,13103,11.72,1.11,0.53,5.43,5.23,12.84,7.56,654421000,515242000,139179000,89789000,49390000,44839000,28645000,85539000,6116000,-72764000,846381000,362595000,483786000,0,529968000,435840000,94128000,316413000,500,24000000,0,0
2016,140,3360000,7.77,11.00,6.08,6.10,54.59,47.47,6.83,115.78,134.20,0.82,25.64,0.83,22.77,12.60,9.11,5.04,1802,14851,9.49,1.15,0.59,5.25,8.76,8.42,5.77,694326000,516277000,178049000,101699000,76350000,63612000,42244000,100772000,-35995000,-84691000,829523000,348078000,481445000,0,475334000,300643000,174691000,354189000,500,24000000,0,0
2017,140,3360000,9.49,7.51,4.79,4.40,-28.66,-17.84,5.50,116.28,128.79,0.52,21.39,0.86,14.87,9.48,6.43,4.10,1475,15869,18.31,1.70,0.89,9.57,7.35,16.10,10.11,724853000,569793000,155060000,100594000,54466000,44186000,34706000,55062000,-49727000,4699000,865121000,377507000,487614000,0,486994000,324640000,162354000,378127000,500,24000000,0,0
2018,160,3840000,10.08,6.88,4.79,8.81,-0.35,8.93,5.41,103.98,112.20,0.84,19.80,0.91,13.75,9.58,6.25,4.35,1587,17163,12.01,1.11,0.58,6.36,7.34,12.39,7.63,788738000,632582000,156156000,101879000,54277000,46333000,37805000,58215000,-14789000,-37884000,872544000,391646000,480898000,0,461346000,376656000,84690000,411198000,500,24000000,0,0
