구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2018,13939948000,4247244000,9692704000,0,7086579000,3832967000,3253612000,6853369000,5000,436611361,0,0,2069439000,-1593572000,-546873000,12125051000,0,12125051000,11394106000,730945000,648267000,481609000,400,174644543,0,3.97,-1.26,-11.54,-11.97,7.20,110.81,103.40,2.27,100.00,0.94,12.10,7.97,5.65,3.72,1103,15696,16.00,1.12,0.64,3.58,6.88,13.99,4.26
2017,11935453000,3072986000,8862467000,0,6702467000,3664552000,3037915000,5232986000,5000,436611361,0,0,2279431000,-1358295000,-788511000,12279382000,0,12279382000,11453087000,826295000,666820000,547118000,400,174644543,0,4.46,7.23,10.69,11.04,7.07,83.86,128.08,2.86,100.00,1.03,16.43,10.88,6.91,4.57,1253,11985,11.17,1.17,0.50,2.73,8.33,10.82,3.55
2016,11989117000,2619551000,9369566000,0,7162789000,3574394000,3588395000,4826328000,5000,436611361,0,0,2224768000,-1492349000,-707286000,11451046000,0,11451046000,10704563000,746483000,642578000,492739000,350,152813975,0,4.30,6.08,18.05,40.29,5.23,73.29,148.41,3.06,100.00,0.96,16.10,10.63,6.24,4.12,1129,11054,10.15,1.04,0.44,2.33,6.76,11.53,3.59
2015,11950998000,2599157000,9351841000,0,7502595000,3354154000,4148441000,4448403000,5000,436611361,0,0,1792908000,-1510693000,-406050000,10795218000,0,10795218000,10162887000,632331000,465941000,351232000,250,109152840,0,3.25,-1.86,9.72,54.24,3.36,77.49,168.66,2.40,100.00,0.90,14.66,8.14,5.28,2.93,805,10187,12.92,1.02,0.42,2.32,5.57,13.90,3.92
2014,12012660000,2489853000,9522807000,0,7834848000,3485661000,4349187000,4177812000,5000,436611361,0,0,2015383000,-2307254000,309470000,10999828000,0,10999828000,10423490000,576338000,320115000,227721000,150,65491704,0,2.07,-3.93,6.31,-18.51,2.74,71.43,187.53,1.30,100.00,0.92,14.06,5.55,4.85,1.91,523,9567,22.00,1.20,0.46,2.90,4.99,16.45,4.55
2013,11775047000,2697110000,9077937000,0,7752431000,3738134000,4014297000,4022616000,5000,436611361,0,0,1777718000,-1962223000,241472000,11450300000,0,11450300000,10908171000,542129000,333844000,279461000,150,65492000,0,2.44,5.00,327.69,흑전,2.58,72.15,192.72,1.40,100.00,1.00,13.95,7.19,4.74,2.44,640,9209,16.79,1.17,0.41,2.94,5.90,16.21,4.73
2012,11088697000,2572894000,8515803000,0,7340197000,3537463000,3802734000,3748500000,5000,436611361,0,0,1874728000,-1985596000,333413000,10904634000,0,10904634000,10777878000,126756000,-129233000,-59615000,0,0,0,-0.55,18.70,-54.62,적전,0.60,72.73,195.82,0,100.00,0.99,3.33,-1.57,1.15,-0.54,-122,8582,0,0.91,0.35,2.86,0.78,57.73,4.82
2011,11048543000,2623232000,8425311000,0,7189151000,3960418000,3228733000,3859392000,5000,514793835,0,0,297635000,-1693744000,977393000,9186407000,0,9186407000,8907083000,279324000,168495000,84663000,150,64875000,0,0.92,15.19,116.05,-85.15,1.68,66.24,186.28,2.03,100.00,0.94,7.15,2.17,2.85,0.87,164,7837,45.01,0.94,0.41,2.99,2.08,27.12,5.16
2010,8525229000,2160081000,6365148000,0,4576747000,2611981000,1964766000,3948482000,5000,514793835,0,0,1283569000,-1093146000,198770000,7974743000,0,7974743000,7845455000,129288000,568234000,570021000,350,151375683,0,7.15,60.82,-63.70,94.56,1.04,82.70,115.91,4.88,100.00,1.27,4.36,19.22,2.05,9.06,1113,9034,6.44,0.79,0.46,2.01,2.95,45.55,4.26
2009,4058280000,1242924000,2815356000,0,2074979000,1431450000,643529000,1983301000,5000,277278430,0,0,583801000,-396092000,-99400000,4958745000,0,4958745000,4602567000,356178000,338383000,292977000,350,89967920,0,5.91,0,0,0,5.96,86.83,104.62,4.12,100.00,0,0,0,0,0,1057,7791,8.04,1.09,0.47,3.18,0,8.88,3.94
