구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익
2018,76991502,23207405,53784097,0,11350111,8632531,2717580,65641391,500,46885499,0,0,1992743,-3014581,-2636294,0,0,0,7.58,18.46,623.71,흑전,29.13,268.84,17.29,0,21.54,0.86,7.12,7.87,5.87,6.49,99,1484,9.14,0.61,0.69,5.60,16.06,10.11,5.95,61046544,47895603,13150941,8964623,4186318,4230884,4629018
2017,65717628,24365720,41351908,0,13766992,12418500,1348492,51950636,500,46885499,0,0,1711774,-8716044,4133252,0,0,0,-0.84,9.90,-68.61,적전,3.66,196.21,26.50,0,19.10,0.80,1.15,-0.86,0.90,-0.67,-9,1192,0,0.97,1.05,21.51,5.80,93.25,15.32,51535607,41691998,9843609,9265160,578449,-140295,-431323
2016,63404547,24290709,39113838,0,14884815,13609264,1275551,48519732,500,43755258,0,0,5771984,-9820975,9390571,0,0,0,4.12,-20.75,191.44,249.30,6.62,178.49,30.68,0,22.92,0.83,4.31,4.51,3.26,3.41,44,1198,35.17,1.30,1.43,14.09,5.30,37.06,14.54,46892477,36145757,10746720,8903968,1842752,1995214,1930661
2015,49704385,18677804,31026581,0,12645148,9733459,2911689,37059236,500,36062951,0,0,-267705,3373432,-2226937,0,0,0,0.93,-19.24,-86.34,-79.05,2.37,191.89,34.12,0,17.37,1.14,1.73,1.51,1.21,1.06,15,1137,133.06,1.75,1.22,23.03,1.29,115.37,22.69,59170051,48890832,10279219,9646934,632285,790106,552716
2014,54449238,22522589,31926650,0,18392899,14076387,4316512,36056340,500,36062951,0,0,1484582,11706821,-10896764,0,0,0,3.60,1.17,1514.74,흑전,4.31,160.00,51.01,0,18.19,1.19,21.78,12.41,7.52,4.28,124,1110,9.05,1.01,0.33,4.23,11.37,9.50,5.75,73267282,59940306,13326976,8698098,4628878,3670995,2637885
2013,68727109,33431322,35295786,0,62287255,37150701,25136554,6439853,500,12421007,0,0,-4677379,-15900287,19935524,0,0,0,-36.54,-6.57,흑전,적지,0.27,89.99,967.22,0,10.08,1.00,1.46,-134.61,0.40,-36.65,-2177,836,0,5.14,0.72,0,1.30,300.30,16.53,72423367,65122651,7300716,7014053,286664,-2724300,-26463650
2012,75673705,21614502,54059203,0,42794206,31126670,11667536,32879499,500,10908402,0,0,-373464,-3798547,4074465,0,0,0,-8.65,13.32,적지,적지,0,69.44,130.15,0,6.86,0.99,-7.09,-20.39,-2.96,-8.52,-632,3014,0,1.86,0.77,0,-3.86,0,29.39,77515504,72201045,5314458,7646153,-2331695,-3352069,-6704098
2011,81709778,26386220,55323558,0,48820099,45961127,2858972,32889679,500,9900000,0,0,7712494,-5223658,-2568306,0,0,0,-3.20,-4.71,적전,적전,0,57.41,148.44,0,9.85,0.86,-2.49,-6.40,-1.07,-2.76,-221,3554,0,2.00,1.03,25.60,-0.87,0,23.60,68403700,61668202,6735498,7586905,-851407,-3802053,-2189844
2010,77051809,22798013,54253796,0,41535992,31651167,9884826,35515816,500,9900000,0,0,2304167,-15060149,13012219,0,0,0,3.30,0,0,0,1.60,72.03,116.95,0,17.69,0,0,0,0,0,239,3820,20.90,1.31,0.69,9.22,0,24.23,12.28,71786185,59086977,12699207,9620413,3078794,2350563,2368224
2009,58441549,15739198,42702351,0,28406141,20480467,7925675,30035408,500,9400000,0,0,2507734,-10719202,7609245,0,0,0,4.98,-19.36,-68.06,흑전,0.60,76.85,94.58,0,16.40,0.76,2.01,7.03,1.08,3.78,203,3286,12.85,0.80,0.64,5.03,2.36,73.70,11.40,38397168,32099612,6297557,5752249,545308,1350092,1912286
