구분,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주
2018,25,277185,0,-0.46,26.30,409.41,적지,1.76,109.23,211.45,0.33,12.77,1.13,6.50,-1.50,2.26,-0.52,-173,11634,0,0.66,0.21,3.62,3.50,26.95,6.62,418168890,364789319,53379571,45012577,8366993,-1835119,-1935804,6736326,-29711426,27586807,398343417,195813157,202530260,0,270441877,179264992,91176885,127901540,500,11248911,0,0
2017,15,161496,0,-0.71,5.94,-88.24,적전,0.56,92.58,165.23,0.11,13.51,1.03,1.23,-1.77,0.51,-0.74,-216,12128,0,1.10,0.44,7.15,0.58,160.39,10.76,331101709,286374188,44727521,43085019,1642502,-2895643,-2356373,15826887,-47918979,35124088,343632178,141861799,201770379,0,214073231,153227956,60845275,129558947,500,10925918,0,0
2016,200,2153291,0,2.89,27.63,9.25,0.16,6.62,107.06,117.12,1.32,18.55,1.16,10.48,6.77,5.19,3.35,841,12781,18.02,1.19,0.52,5.59,4.87,17.60,7.22,312527836,254560949,57966888,44000363,13966524,12716463,9021574,30566586,-48391923,19169601,296772466,127560811,169211655,0,160083866,119150603,40933263,136688600,500,10925918,0,0
2015,200,2069159,0,3.68,12.81,-29.13,-36.47,8.02,138.59,85.86,1.23,20.80,1.07,10.11,7.12,5.59,3.94,879,12659,18.55,1.29,0.68,6.11,7.49,18.24,7.49,244865300,193942243,50923057,38138955,12784102,8658988,9006915,24118539,-43437706,8367744,241551275,103249063,138302212,0,111584319,74499735,37084584,129966956,500,10505257,0,0
2014,100,779122,0,6.53,0.85,-29.83,-30.47,10.93,165.08,75.88,0.58,21.45,1.03,15.62,12.27,8.60,6.76,1894,15777,9.08,1.09,0.59,4.12,10.07,9.71,4.99,217058631,170507010,46551621,28511787,18039835,15720134,14177281,24050411,-12507144,2379446,216184637,93001432,123183205,0,93268505,56335909,36932595,122916132,500,7792420,0,0
2013,300,2239850,0,9.47,46.17,67.32,36.23,12.39,128.97,88.07,1.26,23.10,1.19,26.22,20.80,14.17,11.24,2757,14482,8.63,1.64,0.82,5.07,17.36,8.94,5.73,215234794,165525677,49709117,24002114,25707003,21149386,20390074,33918114,-47607598,8892410,203329442,76879608,126449834,0,95213204,59611827,35601377,108116238,500,7467365,0,0
2012,115,817000,0,10.16,73.12,284.49,575.41,8.41,133.81,81.20,0.54,24.47,1.07,19.96,19.45,11.15,10.87,2142,12366,9.90,1.71,1.01,5.73,12.72,12.62,7.39,147253913,111216815,36037098,20673382,15363716,16441780,14967842,11225119,-30310000,24242315,159406886,66465704,92941182,0,71435174,49669926,21765248,87971712,500,7113926,0,0
2011,0,0,0,2.61,-4.52,-65.51,-77.86,3.55,114.68,75.99,0,24.77,0.81,6.26,3.47,3.82,2.12,320,10575,26.09,0.79,0.68,5.22,4.53,21.51,6.69,85059543,63988243,21071300,17075467,3995833,2305804,2216106,4856946,-21231704,17598393,116101434,45232134,70869300,0,50130369,39443413,10686956,65971065,500,6924557,0,0
2010,75,465161,0,11.24,0,0,0,13.76,122.68,51.47,0.62,30.51,0,0,0,0,0,1490,10075,8.12,1.20,0.91,4.68,0,8.43,5.15,89086697,61906267,27180430,15593865,11586565,10391018,10010502,15939711,-11044480,-7267984,93358311,34282670,59075641,0,31724259,27945914,3778345,61634052,500,6738493,0,0
2009,60,363334,0,13.14,46.70,729.05,흑전,8.86,105.26,104.52,0.48,37.96,0.70,25.68,17.75,13.22,9.14,1261,8536,9.83,1.45,1.29,5.62,18.43,8.39,5.53,62642833,38863680,23779152,11871979,11907174,8620205,8230895,7724340,-7332276,1563618,102282707,49122269,53160438,0,52270941,46669201,5601740,50011766,500,6592382,0,0
