구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름
2009,62456137,41205801,21250336,0,23590796,23153484,437312,38865341,500,7500000,0,0,111872795,92101736,19771058,9564523,10206536,7611145,5072819,150,1072363,21.14,9.12,4.53,-11.36,212.21,32.80,339.63,177.97,60.70,5.33,17.67,1.79,27.65,13.74,16.37,8.14,676,5312,4.16,0.53,0.19,4.10,112.92,2.07,2.05,11838324,-1253021,-6062363
2010,78614659,54786321,23828339,0,35603543,34690815,912729,43011116,500,7500000,0,0,117346477,98678532,18667946,10576325,8091620,7428080,5511506,200,1429817,25.94,6.90,4.70,0,0,0,85.85,157.93,82.78,5.76,15.91,0,0,0,0,0,735,5865,4.73,0.59,0.22,4.62,0,3.22,3.17,9590801,-10394110,-6154546
2011,80200900,59455203,20745697,0,32057338,31069394,987944,48143562,500,7500000,0,0,130689686,110146120,20543566,11769982,8773584,8297850,6055732,200,1430000,23.61,6.71,4.63,11.37,8.43,9.87,243.74,191.36,66.59,4.10,15.72,1.65,19.25,13.29,11.05,7.63,807,6549,6.04,0.74,0.28,5.88,151.69,4.17,4.09,15461768,-9687267,-2534452
2012,92877548,74341481,18536067,0,35313021,34306810,1006212,57564527,500,7500000,0,0,119402993,100272273,19130720,9193572,9937148,10324577,7693678,200,1500000,19.50,8.32,6.44,-8.64,13.26,27.05,1895.68,216.70,61.35,2.94,16.02,1.38,18.80,14.56,11.48,8.89,1026,7675,6.63,0.89,0.43,6.52,0,5.13,5.07,15200794,-7894541,1209544
2013,127902185,102871707,25030478,0,62304123,59554141,2749982,65598063,500,7500000,0,0,163518536,141528744,21989792,10222019,11767773,13755037,10935895,230,1725000,15.77,7.20,6.69,36.95,18.42,42.14,1539.88,172.74,94.98,2.28,13.45,1.48,19.11,17.76,10.66,9.91,1458,8746,6.93,1.15,0.46,6.84,0,6.44,6.36,20298063,-24803246,1871372
2014,132011877,106963249,25048629,0,57660989,54113739,3547250,74350888,500,7500000,0,0,176373907,150086662,26287245,12940774,13346472,14310405,10942079,250,1875000,17.14,7.57,6.20,7.86,13.42,0.06,1917.05,197.66,77.55,1.84,14.90,1.36,19.07,15.64,10.27,8.42,1459,9913,9.32,1.37,0.58,9.18,0,7.64,7.55,13115955,-10641719,-5096372
2015,141089858,107093318,33996540,0,57782472,54622328,3160144,83307386,500,7500000,0,0,192608497,167038905,25569592,12780158,12789435,14344285,10768050,250,1875000,17.41,6.64,5.59,9.20,-4.17,-1.59,1867.07,196.06,69.36,1.30,13.28,1.41,16.22,13.66,9.37,7.89,1436,11108,13.44,1.74,0.75,13.21,0,11.32,11.15,12342482,-9937234,6000
2016,158452485,128985094,29467391,0,71523640,66972237,4551403,86928845,500,7500000,0,0,201410031,176586073,24823959,14307502,10516456,13255986,10738135,250,1825983,17.00,5.22,5.33,4.57,-17.77,-0.28,6455.77,192.59,82.28,1.45,12.33,1.34,12.36,12.62,7.02,7.17,1432,12097,12.01,1.42,0.64,11.81,0,12.27,12.06,12706335,-3570086,-7555049
2017,164381715,135628503,28753213,0,65097890,61606792,3491098,99283826,500,7500000,0,0,270658405,224690293,45968112,22752386,23215727,22791296,13340935,280,2100000,15.74,8.58,4.93,34.38,120.76,24.24,3543.84,220.15,65.57,1.53,16.98,1.68,24.93,14.33,14.38,8.26,1779,13744,10.29,1.33,0.51,10.08,0,5.91,5.84,17688040,-1877183,-1825983
2018,175036784,142346121,32690663,0,66436346,62027834,4408512,108600438,500,7500000,0,0,254259835,216708444,37551391,21087994,16463397,18337328,13872876,280,1998139,14.40,6.48,5.46,-6.06,-29.09,3.99,382.19,229.49,61.18,2.09,14.77,1.50,15.84,13.35,9.70,8.17,1850,15301,7.24,0.88,0.40,7.07,0,6.10,5.98,2672078,-8679349,-4487473
