구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,13804022,7747095,6056927,0,8859296,7665887,1193409,4944727,500,5040873,0,0,18018941,15897981,2120961,6100532,-3979571,-10146393,-13036951,-4385154,-1308645,6955506,0,0,0,-72.35,-24.58,적지,적지,0,101.06,179.17,0,11.77,1.02,-54.36,-178.07,-22.45,-73.56,-2629,981,0,4.64,1.25,0,-49.09,0,0
2010,21643680,13272388,8371292,0,11945816,11316974,628842,9697864,500,33078803,0,0,23892770,17706736,6186034,9175169,-2989135,-5063438,-5824279,2252577,-1005242,-2385476,0,0,0,-24.38,0,0,0,0,117.28,123.18,0,25.89,0,0,0,0,0,-181,303,0,2.52,1.03,0,0,0,0
2009,29591534,19490904,10100630,0,20640978,10391028,10249950,8950556,100,142989927,0,0,32661466,19641344,13020122,8278545,4741577,-3920864,-4485514,-1139783,-2019934,2880194,0,0,0,-13.73,23.46,109.20,적전,2.31,187.57,230.61,0,39.86,1.04,67.13,-63.51,15.05,-14.24,-42,159,0,1.70,0.88,0,27.78,9.50,6.65
