구분,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주
2009,0,0,0,49.30,40.22,73.92,133.18,301.79,29.12,54.17,95.75,0,64.55,0.28,28.39,23.17,13.56,11.06,544,2918,27.56,5.14,11.09,22.86,14.02,25.73,22.03,145551443,51591897,93959546,22207254,71752292,66405392,58544421,44953989,-57466060,31223065,559203548,75702352,483501196,0,273531087,139751759,133779328,285672461,500,107959251,0,0
2010,75,8699087,7.98,58.69,60.27,0,0,0,135.17,140.02,46.03,0.22,78.06,0,0,0,0,0,952,6732,35.19,4.98,21.21,31.20,0,38.03,33.62,180978908,39700762,141278146,35065509,106212637,110858042,109077525,31068950,-254574079,234888329,1140215449,249709431,890506018,0,359385383,178343944,181041439,780830066,500,115987832,0,0
2011,100,11522000,6.87,64.03,60.14,54.18,68.21,53.84,68.60,73.82,56.45,0.28,81.27,0.22,21.26,19.97,14.03,13.17,1442,8140,25.18,4.46,15.14,22.87,15.51,25.67,23.45,279041704,52259806,226781897,48124539,178657358,183385244,167808722,62759965,-103120982,57422819,1407313302,280744838,1126568464,0,507766814,380289788,127477026,899546488,500,116522891,0,0
2012,165,15554000,8.92,55.81,49.81,25.50,9.40,3.95,11.62,138.57,65.02,0.63,73.18,0.22,20.05,17.89,12.45,11.11,1000,6392,26.11,4.08,13.00,21.57,13.27,29.32,24.69,350196210,93912814,256283396,60833481,195449916,187566762,174431166,20970652,-146328642,129423249,1732913897,577224765,1155689132,0,682765148,416569616,266195532,1050148749,500,174639638,0,0
2013,30,2942000,2.87,44.14,45.29,-35.41,-48.92,-41.26,3.11,110.79,81.99,0.08,69.64,0.12,9.34,9.59,5.38,5.52,1090,12169,35.17,3.15,15.93,24.00,5.72,46.11,31.20,226207869,68685792,157522077,57676650,99845427,115664590,102454821,137081056,-229375318,119866978,1978508192,551530079,1426978113,0,891376234,497796860,393579374,1087131958,1000,100503857,0,0
2014,50,5105283,4.53,42.77,24.94,108.24,101.78,14.67,5.25,160.55,72.31,0.13,72.42,0.22,16.55,9.65,9.37,5.46,1089,12829,35.69,3.03,8.54,21.28,8.65,25.06,18.18,471045511,129907860,341137650,139668762,201468888,149111204,117481628,145158529,-106337550,-11318211,2322385039,793036329,1529348710,0,974603694,493936504,480667190,1347781345,1000,103569771,0,0
2015,30,3328350,2.16,42.91,26.23,28.10,28.53,34.73,8.71,164.75,51.85,0.04,61.13,0.24,16.40,10.03,10.21,6.24,1371,15806,61.62,5.35,15.74,40.19,11.10,40.65,30.86,603412769,234568715,368844054,109889735,258954319,163110863,158281750,77566858,-166937622,130426091,2748230542,1096837397,1651393145,0,938389810,665750830,272638981,1809840731,1000,112431663,0,0
2016,50,5828216,3.27,37.24,26.91,11.13,-3.58,14.01,17.72,205.50,37.43,0.05,59.14,0.23,12.46,9.00,8.65,6.25,1527,17633,70.32,6.09,18.67,46.94,7.84,54.85,40.48,670580962,273977687,396603275,146909033,249694242,229335279,180451986,250888340,-162494826,28665112,3021941007,1254069222,1767871786,0,822974207,610253362,212720844,2198966801,1000,116598327,0,0
2017,20,2441953,0.64,53.51,40.69,41.53,103.38,113.99,35.06,261.69,36.33,0.01,73.19,0.30,21.93,16.68,16.03,12.19,3120,19238,70.85,11.49,28.55,56.41,15.77,54.88,46.00,949079965,254473097,694606868,186777929,507828939,491503198,386156799,497451112,-245103611,-96279891,3315527705,1614033788,1701493917,0,883598311,616781030,266817281,2431929394,1000,122666424,0,0
2018,40,2492051,0.95,34.49,25.82,3.48,-33.31,-34.34,23.81,245.47,34.48,0.02,55.92,0.29,13.37,10.01,9.88,7.40,2089,21067,106.49,10.56,28.39,71.75,10.70,84.37,61.40,982074960,432909029,549165931,210471143,338694787,317725829,253563111,382091440,-193141610,-198141249,3540626674,1664478919,1876147755,0,907848812,678087471,229761341,2632777862,1000,125456133,0,0
