구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식),영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA
2009,83910480,54062067,29848413,0,32291773,24569695,7722077,51618707,5000,2000000,0,0,26350385,-10926449,-11377198,140824046,124435655,16388392,4727492,11660900,11111799,8670907,1500,3000000,34.60,8.28,6.16,-0.04,649.21,698.20,9.72,220.04,62.56,6.17,11.64,1.73,23.90,17.77,14.30,10.63,4335,25809,5.60,0.94,0.35,2.35,13.42,5.30,2.61
2010,109288365,58899152,50389213,0,27816518,20827806,6988713,81471846,500,20000000,0,0,15872101,-3166349,-15999950,169133468,147791842,21341626,5466074,15875552,16839483,12966678,150,3000000,23.14,9.39,7.67,0,0,0,33.88,282.79,34.14,3.49,12.62,0,0,0,0,0,648,4074,6.63,1.06,0.51,4.34,0,5.42,3.79
2011,129851420,58068127,71783293,0,39599286,33549374,6049912,90252133,500,20000000,0,0,21682413,-22737581,2172020,177400003,158890652,18509351,5727389,12781962,13084044,10943454,150,3000000,27.41,7.21,6.17,4.89,-19.49,-15.60,87.46,173.08,43.88,5.07,10.43,1.48,14.89,12.75,10.69,9.15,547,4513,5.41,0.66,0.33,3.31,14.37,4.63,3.00
2012,158667057,69342061,89324996,0,60107620,49698063,10409558,98559437,500,20000000,0,0,19303420,-25849537,9828000,217154053,197290735,19863318,5796716,14066602,14444697,11700487,150,3000000,25.64,6.48,5.39,22.41,10.05,6.92,42.37,139.53,60.99,3.18,9.15,1.51,14.90,12.39,9.75,8.11,585,4928,8.06,0.96,0.43,4.61,12.65,6.94,4.27
2013,162058008,67938828,94119180,0,55843893,48161182,7682711,106214115,500,20000000,0,0,30409601,-21809949,-12000000,242992607,224059059,18933548,7212651,11720897,12161793,10700909,150,3000000,28.04,4.82,4.40,11.90,-16.68,-8.54,24.46,141.07,52.58,3.21,7.79,1.52,11.45,10.45,7.31,6.67,535,5311,8.73,0.88,0.38,4.55,11.14,7.97,4.34
2014,196396573,62330090,134066483,0,80575082,59575838,20999244,115821491,500,20000000,0,0,34517595,-49100713,14230000,251617414,229983922,21633492,7427092,14206400,15188766,12980074,160,3200000,24.65,5.65,5.16,3.55,21.21,21.30,40.79,104.62,69.57,2.69,8.60,1.40,12.80,11.69,7.93,7.24,649,5791,9.17,1.03,0.47,4.78,11.50,9.09,4.94
2015,218566708,67273379,151293329,0,102629659,94520441,8109218,115937049,500,20000000,0,0,15396342,-34401969,20050097,219885612,208686659,11198953,8153950,3045003,3868571,3536460,160,3200000,90.49,1.38,1.61,-12.61,-78.57,-72.75,3.08,71.17,88.52,3.88,5.09,1.06,2.63,3.05,1.47,1.70,177,5797,23.30,0.71,0.37,4.49,2.05,38.41,6.55
2016,206368678,72384952,133983726,0,90866908,80685289,10181619,115501770,500,20000000,0,0,15390778,-8718684,-4089981,243610800,230363625,13247175,9182399,4064776,3370269,2874117,160,3200000,111.34,1.67,1.18,10.79,33.49,-18.73,2.89,89.71,78.67,3.44,5.44,1.15,3.51,2.48,1.91,1.35,144,5775,32.32,0.80,0.38,4.38,2.34,30.66,5.56
2017,195270243,74440532,120829712,0,85528586,75584223,9944362,109741658,500,20000000,0,0,13657591,9201496,-12409509,253655651,240391216,13264435,9730803,3533633,2859967,2522644,410,8200000,325.06,1.39,0.99,4.12,-13.07,-12.23,2.84,98.49,77.94,9.48,5.23,1.26,3.14,2.24,1.76,1.26,126,5487,34.29,0.79,0.34,4.02,2.14,33.86,5.32
2018,189074022,77428204,111645818,0,81834672,71468710,10365962,107239350,500,20000000,0,0,14938789,-18679259,-7332856,254122105,242703695,11418410,8053583,3364827,2666299,2513016,160,3136000,124.79,1.32,0.99,0.18,-4.78,-0.38,2.61,108.34,76.31,4.44,4.49,1.32,3.10,2.32,1.75,1.31,126,5455,28.65,0.66,0.28,4.22,2.26,29.85,5.61
