구분,자산,유동자산,비유동자산,기타자산,부채,유동부채,비유동부채,자본,주당액면가액,발행한주식총수,보통주,우선주,매출액,매출원가,매출총이익,판매비와관리비,영업이익,법인세차감전순이익,당기순이익,"DPS(보통주,현금+주식)",배당금(현금+주식),배당성향(현금+주식)      영업이익률,당기순이익률,매출액증가율(전년동기),영업이익증가율(전년동기),당기순이익증가율(전년동기),이자보상배율,유동비율,부채비율,"배당수익률(보통주,현금+주식)",매출총이익률,총자산회전율,ROE(영업이익),ROE(당기순이익),ROA(영업이익),ROA(당기순이익),EPS,BPS,PER,PBR,PSR,PCR,ROIC,EV/EBIT,EV/EBITDA,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름
2018,92783500,64100808,28682692,0,24864122,13904997,10959125,67919378,500,14763600,0,0,133892278,110534488,23357790,13204078,10153711,9506437,13576766,0,0,0,10.14,-3.21,34.57,205.58,26.34,460.99,36.61,0,17.45,1.52,19.09,25.53,11.52,15.40,1112,4600,9.31,2.25,0.94,8.49,34.39,15.05,13.34,17273882,-12141205,1248799
2017,83505371,60309747,23195624,0,45045314,34763679,10281634,38460058,1000,24100000,0,0,138329548,117999044,20330504,12785453,7545051,4565317,4442895,0,0,0,3.21,14.25,196.54,120.64,20.27,173.48,117.12,0,14.70,1.81,20.81,12.25,9.87,5.81,184,1596,0,0,0,0,16.72,1.18,1.00,1301736,-1426572,700000
2016,69393239,46321506,23071733,0,35338395,22750238,12588157,34054844,1000,24100000,0,0,121072102,106731001,14341101,11796766,2544335,2088013,2013669,0,0,0,1.66,30.44,흑전,흑전,8.18,203.61,103.77,0,11.85,1.77,7.68,6.08,3.72,2.94,84,1413,0,0,0,0,6.34,2.68,1.84,-2533482,-634448,3000000
2015,67372072,43805755,23566317,0,35202871,26334864,8868008,32169201,1000,24100000,0,0,92817992,82452295,10365697,11458932,-1093235,-916457,-916457,0,0,0,-0.99,16.89,적전,적전,0,166.34,109.43,0,11.17,1.40,-3.34,-2.80,-1.65,-1.38,-38,1335,0,0,0,0,-3.13,0,53.36,124019,-389979,-3000000
2014,65010921,40582442,24428479,0,31666997,22075689,9591307,33343924,1000,24100000,0,0,79404579,65973158,13431421,11972116,1459305,1147893,1147893,0,0,0,1.45,-24.18,-47.62,-48.35,3.01,183.83,94.97,0,16.92,1.18,4.45,3.50,2.17,1.71,48,1384,0,0,0,0,4.07,0.00,0.00,5615662,-786550,-3000000
2013,69351400,44623834,24727566,0,37114957,22520755,14594202,32236443,1000,24100000,0,0,104727860,90457784,14270076,11483894,2786182,2222575,2222575,0,0,0,2.12,29.85,202.76,60.81,4.37,198.15,115.13,0,13.63,1.54,9.07,7.23,4.10,3.27,92,1338,0,0,0,0,7.35,2.30,1.62,2097183,-162867,1917716
2012,66478092,41066274,25411818,0,37247721,19634416,17613305,29230371,1000,24100000,0,0,80650735,70280598,10370137,9449869,920268,1382117,1382117,0,0,0,1.71,26.19,흑전,흑전,1.52,209.15,127.43,0,12.86,1.28,3.22,4.84,1.46,2.19,57,1213,0,0,0,0,2.65,8.77,4.03,-3001813,-497168,1519025
2011,59973046,33535035,26438010,0,32084116,14958793,17125323,27888930,1000,24100000,0,0,63911759,55831771,8079989,9297963,-1217974,-1851403,-1851403,0,0,0,-2.90,4.31,적지,적지,0,224.18,115.04,0,12.64,1.03,-4.22,-6.41,-1.97,-2.99,-77,1157,0,0,0,0,-3.43,0,0,4832097,-226729,-2595895
2010,63862250,36612254,27249996,0,33989776,16847023,17142753,29872475,1000,24100000,0,0,61273264,53789978,7483286,9479148,-1995863,-2619251,-2619251,0,0,0,-4.27,0,0,0,0,217.32,113.78,0,12.21,0,0,0,0,0,-109,1240,0,0,0,0,0,0,0,-7657819,-21907,4265911
2009,63039277,35131698,27907580,0,28214170,13379916,14834254,34825107,1000,24100000,0,0,60723743,53106680,7617063,9186648,-1569585,-2170662,-2170662,0,0,0,-3.57,-28.25,적지,적지,0,262.57,81.02,0,12.54,0.91,-4.37,-6.04,-2.36,-3.27,-90,1445,0,0,0,0,-4.39,0,2.87,-3013665,-92209,0
